,DOI,Title,Authors,Year,Source Title,Volume,Issue,Abstract,Author Keywords,Scopus Keywords,WOS Keywords,Source
194,10.1111/j.1539-6924.2010.01557.x,"Acculturation, Ethnicity, and Air Pollution Perceptions","Johnson, BB",2011,RISK ANALYSIS,31.0,6,"A globalizing world increases immigration between nations, raising the question of how acculturation (or its lack) of immigrants and their descendants to host societies affects risk perceptions. A survey of Paterson, New Jersey, residents tested acculturation's associations with attitudes to air pollution and its management, and knowledge of and self-reported behaviors concerning air pollution. Linguistic and temporal proxy measures for acculturation were independent variables along with ethnicity, plus controls for gender, age, education, and income in multivariate analyses. About one-fifth of contrasts between non-Hispanic whites, non-Hispanic blacks, English-interviewed Hispanics, and Spanish-interviewed Hispanics were statistically significant (Bonferroni-corrected) and of medium or higher affect size, with most featuring the Spanish-interviewed Hispanics. Knowledge variables featured the most significant differences. Specifically, Spanish-interviewed Hispanics reported less concern, familiarity with pollution, recognition of high pollution, and vigorous outdoor activity, and greater belief that government overregulates pollution than English-interviewed Hispanics (and than the other two groups on most of these variables too). English-interviewed Hispanics did not differ from non-Hispanic whites, but did on several variables from non-Hispanic blacks. Temporal proxies of acculturation among the foreign-born were far less significant, but concern and familiarity with air pollution increased with time spent in the United States, while belief in overregulation and a positive trend in New Jersey pollution increased with time in the nation of origin. Implications of these acculturation and ethnicity findings for risk perception/communication research and practice are discussed.",Acculturation; air pollution; risk perception,,MINORITY HEALTH BEHAVIOR; SEGMENTED ASSIMILATION; GENDER DIFFERENCES; RISK PERCEPTION; MEXICAN; AMERICANS; CULTURE; RACE; ENVIRONMENTALISM; IDENTITY,WOS
95,10.1016/j.jenvman.2019.109309,"Achieving renewable energy, climate, and air quality policy goals: Rural residential investment in solar panel","Kaya, O; Klepacka, AM; Florkowski, WJ",2019,JOURNAL OF ENVIRONMENTAL MANAGEMENT,248.0,,"Heavy dependence on fossil fuels among rural households contributes to GHG emissions and air pollution while increasing landfill loads in Poland. This study examines benefits from the renewable energy utilization support program that subsidized household purchase and installation of thermal solar panels. This review of synergy between energy, climate, and air quality policies focuses on solar panel subsidies funded through the European Union and county governments in Mazowieckie Voivodship in Poland. County government offices, using the unpublished list of households receiving subsidies for thermal solar panel installation, mediated in the implementation of the survey and collected 123 completed questionnaires in May and June 2015. The heteroscedasticity-corrected OLS estimates two equations identifying and quantifying factors influencing the purchase price of solar panels and rural household monthly energy bill savings after installation using the gathered data. Among sociodemographic variables, increasing age was associated with an increasing price paid for the panels, but education was associated with paying a lower price for solar panels and lower self-reported energy bill savings. Panel purchase price increased if the respondent was a farmer, viewed subsidies as important, and preferred domestically manufactured panels. Location of household increased the price as compared to the reference county. Savings on monthly energy bills increased if respondent had a positive view of solar energy, expected a decrease in the bill following the purchase of panels, and heated large areas in the house. Subsidy programs have been important in increased household solar energy utilization, especially among farm households, while self-reported energy bill savings increased with positive attitudes towards renewable energy and the larger heated areas in rural residences.",Air quality; Decarbonization; GHG emission; Solar energy; Survey; Purchase price,,ATTITUDES; ADOPTION; EFFICIENT; BEHAVIOR,WOS
208,10.1177/1070496518821713,"Actual Air Pollution, Environmental Transparency, and the Perception of Air Pollution in China","Peng, MG; Zhang, H; Evans, RD; Zhong, XH; Yang, K",2019,JOURNAL OF ENVIRONMENT & DEVELOPMENT,28.0,1,"Using data from the China Social Survey 2013 and statistics from the Ministry of Environment Protection of China and the Institute of Public & Environment Affairs, this study empirically examines the relationship between actual and perceived air pollution and the moderating effect of environmental transparency on that relationship with a multilevel ordered logistic strategy. Estimations indicate a significant congruence of actual (both particulate matter less than 10 mu m in diameter and sulfur dioxide) and perceived air pollution. More importantly, environmental transparency of local government is found to moderate the relationship between actual and perceived air pollution by neutralizing the halo effects and building more alert perceptions when local air quality deteriorates. Our findings not only challenge the work of identifying a mismatch of actual-perceived air pollution in some developed countries but also suggest that, apart from abating actual air pollution, environmental transparency should be emphasized and strengthened in institutional buildings to help address pollution challenges in developing countries.",perception of air pollution; actual air pollution; environmental transparency; multilevel ordered logistic model; China,China; air quality; atmospheric pollution; developing world; empirical analysis; environmental effect; local government; perception,PUBLIC UNDERSTANDINGS; CITIZEN SATISFACTION; ANNOYANCE SCORES; MINING AREA; GOVERNMENT; URBAN; GOVERNANCE; DISCLOSURE; KNOWLEDGE; QUALITY,WOS
257,10.3389/fpubh.2020.00229,Adolescent Haze-Related Knowledge Level Study: A Cross-Sectional Survey With Sensitivity Analysis,"Zhao, QC; Zhao, YJ; Dou, HZ; Lu, YR; Chen, YH; Tao, LW",2020,FRONTIERS IN PUBLIC HEALTH,8.0,,"Objective:This study aimed to investigate the level of haze-related knowledge adolescents have and to explore relevant influencing factors. Methods:From June 2015 to January 2016, researchers randomly selected 2 districts from the 20 districts of Baoding, China. Then, researchers randomly selected two middle schools from two districts. By conducting a stratified cluster sampling and considering one class as a unit, researchers randomly selected, from the other middle school, five first-grade classes, five second-grade classes, five third-grade classes from the one middle school, and three first-grade classes, two second-grade classes, and two third-grade classes. Finally, 1,100 adolescents were investigated by using the demographic questionnaire and the Adolescent Haze-Related Knowledge Awareness Assessment Scale (AHRKAAS). Multiple linear regressions were conducted to explore factors affecting the adolescent haze-related knowledge. Sensitivity analysis was used to confirm associations between influencing factors and AHRKAAS scores. Results:The AHRKAAS score rate was 69.9%. The dimension of human factors of haze formation was the highest (score rate = 85.6%). The dimension of haze harms on the human body was the lowest (score rate = 57.1%). Compared with the group (monthly expenses <300 yuan), the group (monthly expenses >= 600 yuan) had a higher AHRKAAS score (beta = 4.882, 95% CI: 0.979, 8.784). Compared with the group (Do not live with parents), the group (Live with parents) had a higher AHRKAAS score (beta = 14.675, 95% CI: 9.494, 19.855). Compared with the group (Never undergo a physical examination), the group (Once a year) (beta = 7.444, 95% CI: 2.922, 11.966) and the group (A few times a year) (beta = 7.643, 95% CI: 2.367, 12.919) had a higher AHRKAAS score. Compared with the group (Know nothing), the group (Know most) (beta = 9.623, 95% CI: 2.929, 16.316) and the group (Know very well) (beta = 15.367, 95% CI: 7.220, 23.515) had a higher AHRKAAS score. These associations were still reliable and consistent in different sensitivity analysis models. Conclusion:The level of adolescent haze-related knowledge is low and is affected by monthly expenses, living condition, physical examination frequency, and knowledge of respiratory system diseases. Government bodies, schools, and research institutions should strengthen cooperation of health publicity and health education to improve adolescent haze-related knowledge.",adolescent; haze; cognitive level; sensitivity analysis; health education,,DIABETES SELF-MANAGEMENT; AIR-POLLUTION; RESPIRATORY HEALTH; LUNG-FUNCTION; ASTHMA; CHILDREN; ASSOCIATION; ATTITUDES,WOS
187,10.1111/1468-5973.12148,"Adoption of Protective Behaviours: Residents Response to City Smog in Hefei, China","Cheng, P; Wei, JC; Marinova, D; Guo, XM",2017,JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT,25.0,4,"City smog outbreaks in many Chinese cities aroused public concern about health risks and environmental pollution in China. This study investigates protective behaviours of the citizens in response to city smog using protective action decision to understand their actions. A survey was conducted in Hefei, Anhui in 2015, after the city experienced severe smog events. The data from 429 respondents supported the developed model. Hazard-related attributes were the strongest predictors for willingness to adopt protective behaviours. Public risk perception only positively affected self-protective actions. Information sources affected risk perception and increased the respondents' self-protective intentions. Older adults and respondents with lower educational levels were more likely to adopt environmentally friendly actions. The findings' theoretical and practical implications are also discussed.",,,PRO-ENVIRONMENTAL BEHAVIOR; SOCIAL AMPLIFICATION; RISK PERCEPTIONS; HAZARD; DETERMINANTS; ADJUSTMENT; INTERNET; VALUES,WOS
27,10.1007/s11366-023-09849-z,"Air Pollution Coverage, Anti-Chinese Sentiment, and Attitudes Towards Foreign Policy in South Korea","Song, EE",2023,JOURNAL OF CHINESE POLITICAL SCIENCE,28.0,4,"Air pollutants allegedly originating from China have become a thorny issue in South Korea. Despite a neutral view of the topic on the part of the South Korean government, recent public polls show a high correlation between the air pollution issue and negative sentiment toward China. How has the media reported on China regarding air pollutants in South Korea? What is the effect of media reports on air pollution on anti-Chinese sentiment and foreign policy attitudes? By examining news headlines and Twitter data in 2015 and 2018, this work finds that media reports blaming China for air pollution doubled during the 2015-2018 period. Discourse surrounding air pollution also shifted: negative sentiment directed at both the Chinese government and the Chinese people increased in 2018 compared to 2015. In addition, an original online survey experiment shows that China-blaming articles have a causal effect on increasing related resentment, particularly toward Chinese people, and that this effect is moderated by age group. Such articles have also had negative effects on foreign policy attitudes via increased anti-Chinese sentiment; greater hostility toward the Chinese people is found to have a causal effect on reduced support for strengthening relations with their country.",Sino-Korea relations; foreign policy attitudes; environmental pollution; public opinion,,ONLINE; OPINION,WOS
238,10.2147/PRBM.S409663,Air Pollution and Prosocial Behavior in Chinese Adolescents: The Role of Resilience and Interpersonal Relations,"Feng, YK; Ni, N; Liu, W; Chi, XL",2023,PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT,16.0,,"Purpose: Past studies have indicated that air pollution is a major environmental factor that negatively affects prosocial behavior in adolescents. However, the mechanism underlying this negative relationship has not been fully explored. This study postulated that this impact may occur through individual resilience, a major psychological capital for adolescents. In addition, we studied interpersonal relations, namely, adolescents' perceived family and teacher support, which may moderate the proposed relationship. Methods: This study combined the three-year tracking survey data of 11-to-15 old adolescents (N=1301; approximately 48% female) in China with objective data from the air quality index (AQI) to measure the level of air pollution.Results: Findings from ordinary least squares analysis indicated that air pollution negatively influences adolescents' prosocial behavior, and their resilience mediates this negative relationship. In addition, the results showed that the negative effect of air pollution on adolescent resilience is attenuated by higher family income, whereas it is accentuated by the absence of teacher support. Conclusion: Our study provides insight into how the negative effect of air pollution on adolescents' prosocial behavior is mediated by their psychological resilience, and highlights the moderating role of adolescents' interpersonal relations in the association between air pollution and their psychological resilience. Our research also provides practical advice on how families, teachers, and psychologists can mitigate this negative impact.",psychological resilience; environment; interpersonal relations; prosocial behavior; adolescents; China,,SOCIOECONOMIC-STATUS; DEPRESSIVE SYMPTOMS; SCHOOL; YOUTH; AGGRESSION; RESOURCES; CHILDREN; HEALTH,WOS
153,10.1080/10807039.2012.749068,"Air Pollution from Industry and Traffic: Perceived Risk and Affect in the Moerdijk Region, The Netherlands","Geelen, LMJ; Souren, AFMM; Jans, HWA; Ragas, AMJ",2013,HUMAN AND ECOLOGICAL RISK ASSESSMENT,19.0,6,"The aim of the present study was to compare the perceived risks of air pollution from industry and traffic in the Moerdijk region in The Netherlands, and to identify the demographic and psychometric variables that are associated with these perceived risks. We sent out a questionnaire and risk perceptions were explored using multiple regression models. The results showed that the perceived risks of industrial air pollution were higher than for those of traffic-related air pollution. The perceived risk of industrial air pollution was associated with other variables than that of traffic. For industry, the psychometric variable affect prevailed. For traffic-related air pollution, the demographic variables age and educational level prevailed, although affect was also apparent. Which source was considered as the major sourcetraffic or industrydepended on a high risk perception of industrial air pollution, and not on variation in risk perception of traffic-related air pollution. These insights can be used as an impetus for the local risk management process in the Moerdijk region. We recommend that local authorities consider risk perception as one of the targets in local risk management strategies as well.",risk perception; air pollution; industry; traffic; affect,,ENVIRONMENTAL RISK; HEALTH-RISKS; PERCEPTION; QUALITY; GENDER; IMPACT; IRRITATION; VIEWS; TRUST; ODOR,WOS
319,10.3390/su15021494,"Air Pollution in Urban Africa: Understanding Attitudes and Economic Valuation in the Case of Dakar, Senegal","Diallo, SM; Seck, A",2023,SUSTAINABILITY,15.0,2,"The degradation of air quality is a real concern in Africa, as pollution levels are consistently above commonly accepted thresholds, and yet, very little is known about individual attitudes and the extent to which improved air quality is valued in the context of rapid urbanization. This research proposes to analyze the willingness to pay for reduced air quality in African urban areas. Using survey data from 427 individuals in Dakar (Senegal) between February and May 2019, a double-bound, dichotomous contingent valuation model is developed. The results first suggest that 70% of individuals are indeed willing to pay an average of CFA Francs 3114.8 (USD 5.6) per month to contribute to air quality improvement, and the corresponding value of a life year gained is estimated at CFA Francs 35,550.2 (USD 80) at least. The results also point to a great deal of heterogeneity in individual valuation schemes, as they vary with the perceptions of life expectancy gains, payment vehicles, and various individual characteristics, and also across months with different levels of temperatures. These findings could constitute important inputs into public strategies aimed at improving air quality in the African context.",air pollution; contingent valuation; willingness to pay; value of one life year; Dakar,Dakar [Senegal]; Senegal; air quality; atmospheric pollution; contingent valuation; public attitude; urban area; willingness to pay,CONTINGENT VALUATION; QUALITY,WOS
40,10.1016/j.amepre.2021.04.030,Air Quality Awareness and Behaviors of US Adolescents With and Without Asthma,"Lynch, KM; Mirabelli, MC",2021,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,61.0,5,"Introduction: Among U.S. adolescents, the knowledge that air pollution can impact health is relatively high and varies by the demographics of the respondents and the places they live, but the influence of asthma status is unknown. This study assesses the role of asthma in U.S. adolescents' awareness, perceptions, and behaviors related to air pollution. Methods: In 2020, data were analyzed from 817 adolescents aged 12-17 years who responded to the 2020 Porter Novelli Public Services YouthStyles survey, a nationally representative survey of U.S. adolescents. Respondents self-reported having or having had asthma in the past year and their awareness, perceptions, and behaviors related to air pollution. For each aspect of air quality awareness, perception, and behavior, weighted percentages of responses were calculated by asthma status. Results: Overall, an estimated 11.5% of U.S. adolescents self-reported asthma. Awareness that air pollution can impact health, awareness that respondents can limit their air pollution exposure, and having heard or read about air quality alerts were similar among adolescents with and without asthma, with some differences reported in where they heard or read about air quality alerts. Those with asthma reported discussing with a health professional about ways to limit exposure more frequently than those without asthma. Conclusions: Despite the well-known risk of asthma exacerbations from air pollution exposure, air quality awareness was similar among adolescents with and without asthma. These findings reveal the areas in which air quality awareness and behaviors to reduce exposure can be improved among adolescents with and without asthma. Published by Elsevier Inc. on behalf of American Journal of Preventive Medicine.",,,POLLUTION,WOS
330,10.3390/urbansci8030133,Air Quality Awareness—Empirical Evidence from a Comparative Perspective between Two European Cities,Salimbene O.; Baeza-Romero M.T.; Pilla F.; Čok G.,2024,,8.0,3,"This research, conducted as part of the European project PA-MAP (Participatory Approach to Monitoring Air Quality in Urban Environments), investigates citizens’ perceptions of air pollution in two European cities: Turin (Italy) and Dublin (Ireland). We systematically collected social data through semi-structured surveys distributed via online platforms. Our aim was to gather comprehensive information on the perception of pollution sources and the effectiveness of control systems. We examined citizens’ habits and their suggestions to improve air quality. The results revealed the following: (1) In Turin, the perception of air pollution significantly influences individuals’ self-assessments of health. Consequently, increased vigilance is required to mitigate environmental health risks and to disseminate information on air quality and effective practices for reducing air pollution. (2) The use of sustainable transportation in Turin is hindered due to the inadequate maintenance of cycling infrastructure. Citizens prefer to use cars or trains, which facilitate rapid travel. (3) In Dublin, greater sensitivity to the problem of air pollution has emerged, and the use of sustainable means of transport is facilitated via ad hoc infrastructure. These results provide empirical evidence to policymakers to support the promotion of concrete local actions through which to improve air quality. © 2024 by the authors.",air quality; citizen behavior; Europe; qualitative survey,,,Scopus
14,10.1007/s10745-019-0046-y,Air Quality and Visitor Behavior in US Protected Areas,"Zajchowski, CAB; Tysor, DA; Brownlee, MTJ; Rose, J",2019,HUMAN ECOLOGY,47.0,1,"Past research has documented the harmful impacts of air pollution on endemic species, ecosystem functions, and human health. Far less is known about how degraded air quality influences the behaviors of visitors who frequent protected areas, such as National Parks. The aim of this study was to survey United States federal land management agency professionals to better understand the dynamic interplay between social and ecological factors leading to air quality-related visitor behavior. We analyzed professionals' (n=38) perceptions of the process of air quality degradation, management actions, and visitor responses, specifically the behavioral strategies visitors employ to reduce their exposure to degraded air quality. Results indicate a preponderance of context and source-specific behaviors. Additionally, many professionals shared their concerns regarding lingering gaps in social science scholarship regarding broad air quality-related behavioral patterns in protected areas. Implications for federal land managers, protected area researchers, and policy makers are discussed.",Air pollution; Air quality; Wildland fire; Prescribed fire; Visitor behavior; Recreation substitutability; Social-ecological systems; Protected areas,United States; air quality; atmospheric pollution; ecosystem function; endemic species; prescribed burning; protected area; recreational development,OUTDOOR RECREATION; NATIONAL-PARK; SUBSTITUTABILITY; DISPLACEMENT; PREFERENCES; PERCEPTIONS; POLLUTION; RESOURCE; TOURISM; ALERTS,WOS
20,10.1007/s11205-012-0064-2,Air Quality in Hamilton: Who is Concerned? Perceptions from Three Neighbourhoods,"Simone, D; Eyles, J; Newbold, KB; Kitchen, P; Williams, A",2012,SOCIAL INDICATORS RESEARCH,108.0,2,"This study investigates the factors influencing perceptions of air quality in the industrial city of Hamilton, Canada. The research employs data collected via a telephone survey of 1,002 adult residents in three neighbourhoods. Perceptions in the neighbourhoods were examined by individual socio-demographic factors (age, gender, marital and immigrant status, education, etc.) in addition to perceived health status and neighbourhood problems (environmental, social and safety concerns). Neighbourhood variations were found, with those residing in the Southwest Mountain neighbourhood being over 6 times more likely to report a 'good' perception of air quality than those residing in the Lower City neighbourhood. In addition, factors influencing these perceptions also varied by neighbourhood. Perceived neighbourhood problems strongly influenced perceptions of air quality in the Lower City and Central areas, whereas socio-demographic factors were significant primarily in the Lower City neighbourhood, suggesting the importance of these mediating dimensions; pointing to less of a concern about air quality. There was, however, remarkable consistency in all three neighbourhoods when respondents were asked whether their perception of air quality affected their choice to go outside. Overall, the presence or absence of perceived problems, such as pollution and safety, had a powerful effect on shaping and differentiating neighbourhood responses.",Lay perceptions; Air quality; Environment; Health; Hamilton,Canada; Hamilton [Ontario]; Ontario [Canada]; air quality; health status; industrial district; neighborhood; perception; safety,SELF-RATED HEALTH; URBAN-INDUSTRIAL NEIGHBORHOOD; ENVIRONMENTAL RISK; LOCAL ENVIRONMENT; NORTHEAST ENGLAND; MENTAL-HEALTH; POLLUTION; CANADA; PLACE; PERSPECTIVES,WOS
